date,symbol,open,high,low,close,volume,log_ret_close,log_ret_vol,volatility,rsi,macd,target_log_ret_close_next_1d
2021-07-28,ETHUSDT,2299.47,2345.0,2243.15,2300.9,718202.57727,0.0006129915264366464,-0.23268406353629603,0.8293649773045998,60.534389058517334,52.77989785431448,0.03502627568090282
2021-07-29,ETHUSDT,2300.9,2400.0,2266.12,2382.92,499364.83496,0.03502627568090282,-0.3634147095095357,0.6171506114892819,63.9252240621541,56.596867533575875,0.03257022532996052
2021-07-30,ETHUSDT,2382.93,2471.7,2315.92,2461.81,762577.28797,0.03257022532996052,0.42336690382803394,0.9895282534322285,66.87338858239318,61.20758541379521,0.02773738465118003
2021-07-31,ETHUSDT,2461.77,2553.86,2420.68,2531.05,507601.05026,0.02773738465118003,-0.40700805970876514,0.6520905765145136,69.24875474962863,65.31876291476621,0.009688009499400239
2021-08-01,ETHUSDT,2531.1,2697.61,2511.24,2555.69,853495.94078,0.009688009499400239,0.5196449813454224,1.1222882347809726,70.07120771881554,65.90618098615212,0.01985103789973777
2021-08-02,ETHUSDT,2555.5,2666.0,2507.0,2606.93,726701.84952,0.01985103789973777,-0.16082450354003514,0.9017208266280067,71.7625332302759,65.80151782730664,-0.03827307394071198
2021-08-03,ETHUSDT,2606.92,2632.44,2442.32,2509.04,792960.84375,-0.03827307394071198,0.08725756033769372,1.115880185971877,64.28803489933713,55.60145500239298,0.0824874810472735
2021-08-04,ETHUSDT,2508.51,2772.71,2457.68,2724.78,954590.7536,0.0824874810472735,0.1855088753223106,1.3746691452096087,71.36645634401191,59.49690233543234,0.03682485047539158
2021-08-05,ETHUSDT,2724.55,2843.98,2529.91,2826.99,1307720.20654,0.03682485047539158,0.3147578813885645,1.7958634582025004,73.99616407187457,64.64211172531861,0.02259052414762768
2021-08-06,ETHUSDT,2827.01,2946.75,2720.06,2891.58,825399.48637,0.02259052414762768,-0.4601731047240008,0.9783509736284585,75.52583113427234,67.75277442105153,0.08886705851891687
2021-08-07,ETHUSDT,2891.54,3171.0,2865.5,3160.31,1205277.10095,0.08886705851891687,0.37859728374459417,1.4135849760030317,80.6309268437268,82.2984721998273,-0.04811561615229547
